id,symbol,timestamp,open,high,low,close,volume,source,created_at
2789,GBP/USD,2025-07-03 20:00:00,1.3658,1.36683,1.3648,1.36627,0,twelvedata,2025-08-26 16:43:42
2790,GBP/USD,2025-07-03 21:00:00,1.36597,1.36629,1.36562,1.36577,0,twelvedata,2025-08-26 16:43:42
2791,GBP/USD,2025-07-03 22:00:00,1.36575,1.36593,1.35888,1.36167,0,twelvedata,2025-08-26 16:43:42
2792,GBP/USD,2025-07-03 23:00:00,1.36186,1.36625,1.3616,1.36577,0,twelvedata,2025-08-26 16:43:42
2793,GBP/USD,2025-07-04 00:00:00,1.36717,1.36717,1.3634,1.3647,0,twelvedata,2025-08-26 16:43:42
2794,GBP/USD,2025-07-04 01:00:00,1.36459,1.36603,1.3642,1.36521,0,twelvedata,2025-08-26 16:43:42
2795,GBP/USD,2025-07-04 02:00:00,1.36536,1.3655,1.36364,1.36521,0,twelvedata,2025-08-26 16:43:42
2796,GBP/USD,2025-07-04 03:00:00,1.36506,1.36522,1.36439,1.36474,0,twelvedata,2025-08-26 16:43:42
2797,GBP/USD,2025-07-04 04:00:00,1.36459,1.365,1.36409,1.36418,0,twelvedata,2025-08-26 16:43:42
2798,GBP/USD,2025-07-04 05:00:00,1.36411,1.3647,1.364,1.36467,0,twelvedata,2025-08-26 16:43:42
2799,GBP/USD,2025-07-04 06:00:00,1.36455,1.36552,1.36431,1.36552,0,twelvedata,2025-08-26 16:43:42
2800,GBP/USD,2025-07-04 07:00:00,1.36586,1.36586,1.36476,1.36521,0,twelvedata,2025-08-26 16:43:42
2801,GBP/USD,2025-07-04 08:00:00,1.36519,1.36543,1.36509,1.36537,0,twelvedata,2025-08-26 16:43:42
2802,GBP/USD,2025-07-04 09:00:00,1.36541,1.36681,1.36534,1.36681,0,twelvedata,2025-08-26 16:43:42
2803,GBP/USD,2025-07-04 10:00:00,1.36661,1.36668,1.36599,1.36631,0,twelvedata,2025-08-26 16:43:42
2804,GBP/USD,2025-07-04 11:00:00,1.36636,1.36653,1.36478,1.3648,0,twelvedata,2025-08-26 16:43:42
2805,GBP/USD,2025-07-04 12:00:00,1.36489,1.36562,1.36467,1.36537,0,twelvedata,2025-08-26 16:43:42
2806,GBP/USD,2025-07-04 13:00:00,1.36537,1.36621,1.36532,1.36586,0,twelvedata,2025-08-26 16:43:42
2807,GBP/USD,2025-07-04 14:00:00,1.36578,1.36748,1.36578,1.36732,0,twelvedata,2025-08-26 16:43:42
2808,GBP/USD,2025-07-04 15:00:00,1.36758,1.36818,1.36752,1.36765,0,twelvedata,2025-08-26 16:43:42
2809,GBP/USD,2025-07-04 16:00:00,1.36747,1.36814,1.36677,1.36775,0,twelvedata,2025-08-26 16:43:42
2810,GBP/USD,2025-07-04 17:00:00,1.36782,1.36782,1.36578,1.36595,0,twelvedata,2025-08-26 16:43:42
2811,GBP/USD,2025-07-04 18:00:00,1.36588,1.36672,1.36582,1.36642,0,twelvedata,2025-08-26 16:43:42
2812,GBP/USD,2025-07-04 19:00:00,1.36647,1.36647,1.36521,1.3658,0,twelvedata,2025-08-26 16:43:42
2813,GBP/USD,2025-07-04 20:00:00,1.36573,1.36608,1.36474,1.36489,0,twelvedata,2025-08-26 16:43:42
2814,GBP/USD,2025-07-04 21:00:00,1.36495,1.36562,1.36435,1.36483,0,twelvedata,2025-08-26 16:43:42
2815,GBP/USD,2025-07-04 22:00:00,1.36472,1.3648,1.3634,1.36359,0,twelvedata,2025-08-26 16:43:42
2816,GBP/USD,2025-07-04 23:00:00,1.36375,1.36517,1.36375,1.36495,0,twelvedata,2025-08-26 16:43:42
2817,GBP/USD,2025-07-05 00:00:00,1.36506,1.36539,1.36387,1.36435,0,twelvedata,2025-08-26 16:43:42
2818,GBP/USD,2025-07-05 01:00:00,1.36422,1.36489,1.36409,1.3645,0,twelvedata,2025-08-26 16:43:42
2819,GBP/USD,2025-07-05 02:00:00,1.36426,1.36519,1.36426,1.36465,0,twelvedata,2025-08-26 16:43:42
2820,GBP/USD,2025-07-05 03:00:00,1.36487,1.36522,1.36485,1.36491,0,twelvedata,2025-08-26 16:43:42
2821,GBP/USD,2025-07-05 04:00:00,1.36495,1.36541,1.36483,1.36541,0,twelvedata,2025-08-26 16:43:42
2822,GBP/USD,2025-07-05 05:00:00,1.36541,1.36547,1.36502,1.36515,0,twelvedata,2025-08-26 16:43:42
2823,GBP/USD,2025-07-05 06:00:00,1.36511,1.36586,1.36442,1.36442,0,twelvedata,2025-08-26 16:43:42
2824,GBP/USD,2025-07-05 07:00:00,1.36478,1.36485,1.36478,1.36485,0,twelvedata,2025-08-26 16:43:42
2825,GBP/USD,2025-07-05 08:00:00,1.36485,1.36485,1.36485,1.36485,0,twelvedata,2025-08-26 16:43:42
2826,GBP/USD,2025-07-07 09:00:00,1.36537,1.36549,1.36466,1.36524,0,twelvedata,2025-08-26 16:43:42
2827,GBP/USD,2025-07-07 10:00:00,1.36511,1.36582,1.36463,1.36485,0,twelvedata,2025-08-26 16:43:42
2828,GBP/USD,2025-07-07 11:00:00,1.36463,1.36472,1.36327,1.36333,0,twelvedata,2025-08-26 16:43:42
2829,GBP/USD,2025-07-07 12:00:00,1.36348,1.36381,1.36268,1.36294,0,twelvedata,2025-08-26 16:43:42
2830,GBP/USD,2025-07-07 13:00:00,1.3629,1.36336,1.36266,1.36288,0,twelvedata,2025-08-26 16:43:42
2831,GBP/USD,2025-07-07 14:00:00,1.36282,1.36303,1.36167,1.36179,0,twelvedata,2025-08-26 16:43:42
