Datetime,Open,High,Low,Close,Volume,EMA_21,EMA_44,RSI_14,ATR_14,Engulfing_Signal,Price_Position,Volume_Ratio,Label
2024-10-09 18:30:00+00:00,42429.58984,42510.44922,42414.85156,42506.96094,25067026,42214.06771,42159.82218,83.5395338,128.2240513,0,0.9948604317,1.086874021,
2024-10-09 19:30:00+00:00,42507.14063,42562.01172,42480.87109,42514.01953,35281618,42241.33605,42175.56429,84.11347181,126.1992188,0,0.9342818936,1.42107037,
2024-10-10 13:30:00+00:00,42511.37109,42511.37109,42368.21875,42398.96094,0,42255.66559,42185.49303,75.72340807,120.7770647,0,0.7767263974,0,
2024-10-10 14:30:00+00:00,42398.82813,42459.39844,42332.53906,42422.60156,26292235,42270.84159,42196.03118,74.10657707,121.1077009,0,0.8090986895,1.119720815,
2024-10-10 15:30:00+00:00,42422.98828,42500.35938,42395.14844,42498.16016,19607161,42291.50691,42209.45914,75.58398459,124.2848772,0,0.9125648569,0.8352822702,
2024-10-10 16:30:00+00:00,42498.10156,42500.71094,42336.98047,42402.60156,18861754,42301.60642,42218.04325,72.5662402,127.7511161,0,0.7817116876,0.805133319,
2024-10-10 17:30:00+00:00,42402.03125,42417.94141,42314.75,42355.30859,18313177,42306.48844,42224.14393,66.77266173,129.1928013,0,0.7169510564,0.8144547985,
2024-10-10 18:30:00+00:00,42355.41016,42371.37891,42308.03906,42358.57813,21011811,42311.22387,42230.11878,65.61199438,129.6506696,0,0.7214281894,0.9703483523,
2024-10-10 19:30:00+00:00,42358.67969,42472.67969,42357.26953,42454.83984,31515059,42324.27986,42240.10638,69.27833006,133.8786272,0,0.8532441829,1.356674605,
2024-10-11 13:30:00+00:00,42507.53125,42786.82031,42507.53125,42772.64063,0,42365.03993,42263.77457,74.98747985,136.4623326,0,0.985153435,0,
2024-10-11 14:30:00+00:00,42772.73828,42812.05859,42739.76172,42785.30859,31929746,42403.24618,42286.95386,71.00197406,125.8984375,0,0.9727130004,1.435070044,
2024-10-11 15:30:00+00:00,42785.53906,42835.48047,42702.83984,42722.78125,23474765,42432.29482,42306.32397,64.47316882,125.1227679,-1,0.8877209505,1.04809121,0
2024-10-11 16:30:00+00:00,42723.07031,42774.44141,42707.21875,42751.62109,17791948,42461.32448,42326.11495,63.79031008,122.5443638,0,0.9164532725,0.8060397124,
2024-10-11 17:30:00+00:00,42751.64844,42862.01953,42742.01953,42825.60938,18702188,42494.44129,42348.3147,69.1088751,123.1729911,0,0.9646599836,0.8734023228,
2024-10-11 18:30:00+00:00,42824.73828,42886.71875,42784.73047,42876.14844,23913522,42529.14194,42371.77398,68.275478,123.6294643,0,0.989980561,1.161611336,
2024-10-11 19:30:00+00:00,42876.28906,42899.75,42854.73047,42865.19141,36555531,42559.69189,42393.70364,67.31683451,121.0493862,0,0.9676421212,1.630903258,
2024-10-14 13:30:00+00:00,42800.89063,42904.44922,42707.14063,42877.08984,0,42588.54625,42415.18748,76.24772157,124.7285156,1,0.9744951095,0,1
2024-10-14 14:30:00+00:00,42879.16016,42990.87891,42879.16016,42973.03906,27317001,42623.50014,42439.98088,77.99472337,123.7949219,0,0.9846094224,1.31366253,
2024-10-14 15:30:00+00:00,42973.53125,43062.78125,42964.32031,43047.46875,19715528,42662.04274,42466.98034,77.96942563,123.312779,0,0.9875613603,0.9478611848,
2024-10-14 16:30:00+00:00,43047.46875,43075.37891,43026.62109,43042.05078,14265950,42696.58893,42492.53903,85.85000285,115.1004464,0,0.9732011609,0.6965523468,
2024-10-14 17:30:00+00:00,43041.05859,43076.60156,42995.32813,43066.78906,17961035,42730.24349,42518.06125,90.92330714,113.5348772,1,0.9921176083,0.8924515518,1
2024-10-14 18:30:00+00:00,43066.94922,43111.44922,43063.76953,43081.19141,20147610,42762.14784,42543.08926,91.03808117,112.4162946,0,0.9763557444,1.040209456,
2024-10-14 19:30:00+00:00,43081.08984,43139,43066.69141,43077.73828,36189963,42790.83788,42566.85144,89.54361497,109.3376116,0,0.9531373727,1.708822916,
2024-10-15 13:30:00+00:00,43240.17188,43277.78125,42760.53906,42886.35938,0,42799.52165,42581.05179,58.59958408,122.5705915,0,0.7293151839,0,
2024-10-15 14:30:00+00:00,42885.42188,43004.10156,42839.69141,42988.37109,50133284,42816.68978,42599.15487,63.52791772,129.1501116,0,0.799860611,2.343772744,
2024-10-15 15:30:00+00:00,42987.78906,43000.08984,42886.19141,42996.60156,29320524,42833.0454,42616.81917,69.66437757,127.8113839,0,0.805552329,1.338046587,
2024-10-15 16:30:00+00:00,42996.35938,43002.46094,42877.67188,42895.12109,23560667,42838.68865,42629.18814,59.33181596,131.9232701,0,0.7353742838,1.062473111,
2024-10-15 17:30:00+00:00,42894.76953,42952.92188,42794.28125,42807.94922,22646627,42835.89415,42637.13308,48.8709186,134.6833147,0,0.6750912377,1.017503651,
2024-10-15 18:30:00+00:00,42808.01172,42821.23828,42725.39844,42761.94922,29648201,42829.17189,42642.68046,42.65618328,134.2441406,0,0.6432802881,1.337691585,
2024-10-15 19:30:00+00:00,42761.57031,42775.85938,42703.17188,42752.51953,51810554,42822.20349,42647.5622,42.74014115,136.2204241,0,0.6367592595,2.092997819,
2024-10-16 13:30:00+00:00,42706.48828,42957.42188,42692.37109,42917.91016,0,42830.9041,42659.57766,52.19585792,141.0591518,1,0.7511338864,0,1
2024-10-16 14:30:00+00:00,42917.76953,42977.64063,42888.48828,42932,33904351,42840.09463,42671.68532,47.57917343,139.2993862,0,0.7608776105,1.431818488,
2024-10-16 15:30:00+00:00,42930.96094,43009.57813,42911.82031,42989.41016,26074664,42853.66877,42685.80643,46.50504385,139.2491629,0,0.8005791667,1.082234441,
2024-10-16 16:30:00+00:00,42989.30859,43016.44922,42959.12109,42972.44141,23141805,42864.46628,42698.54576,45.86719359,139.8613281,0,0.7888445569,0.9517368127,
2024-10-16 17:30:00+00:00,42971.82031,43098.14063,42962.19141,43077.94922,23536457,42883.87382,42715.40813,50.60460746,143.7667411,1,0.861807681,0.968718499,0
2024-10-16 18:30:00+00:00,43077.85156,43095.14063,43048.91016,43059.89844,25276659,42899.87606,42730.71882,48.85098418,143.6632254,0,0.8493248007,1.065063189,
2024-10-16 19:30:00+00:00,43059.76953,43100.83984,43052.60938,43077.14844,37714164,42915.99173,42746.11569,49.96863771,141.9433594,0,0.8570036527,1.472159916,
2024-10-17 13:30:00+00:00,43119.80859,43289.76172,43119.80859,43181.19141,0,42940.10079,42765.45239,67.28135289,120.1841518,0,0.9232741939,0,
2024-10-17 14:30:00+00:00,43179.19922,43239.30859,43123.85938,43235.73828,27847464,42966.97693,42786.35398,65.35354417,116.686942,0,0.9613207442,1.129302291,
2024-10-17 15:30:00+00:00,43236.16016,43253.96094,43180.42188,43219.64844,24540870,42989.94707,42805.61151,63.71027382,113.8041295,0,0.9481802907,0.9748984486,
2024-10-17 16:30:00+00:00,43219.51953,43286.10938,43199.89844,43259.35938,19496534,43014.43909,42825.77808,74.22892036,111.0485491,1,0.9775300687,0.772154642,0
2024-10-17 17:30:00+00:00,43259.35938,43286.07031,43164.64063,43208.87109,24014394,43032.11473,42842.80444,78.03741381,108.390625,0,0.9390218406,0.9438559521,
2024-10-17 18:30:00+00:00,43209.32031,43265.80078,43205.85156,43243.71094,22317619,43051.35075,42860.62251,84.22495657,105.8270089,0,0.9644782317,0.9017496007,
2024-10-17 19:30:00+00:00,43242.92188,43268.94141,43229.67969,43239.51172,34293390,43068.45629,42877.46203,84.85556761,103.4394531,0,0.9612391188,1.295854928,
2024-10-18 13:30:00+00:00,43187.12109,43252.89844,43036.35156,43095.57813,0,43070.92191,42887.15608,63.11921313,99.97488839,0,0.8502143841,0,
2024-10-18 14:30:00+00:00,43095.53125,43178.73828,43092.44922,43170.08984,31635646,43079.93718,42899.73091,66.14057295,99.7703683,0,0.8951565158,1.314154516,
2024-10-18 15:30:00+00:00,43170.01172,43255.55859,43165.85156,43244.03906,24689223,43094.85553,42915.03349,66.88319425,99.1953125,0,0.9534260965,1.023199548,
2024-10-18 16:30:00+00:00,43243.57031,43315.16016,43229.96875,43251.53125,24689302,43109.09878,42929.98895,68.74058997,101.1855469,0,0.9368209974,1.018890119,
2024-10-18 17:30:00+00:00,43252.39063,43325.08984,43205.37109,43310.33984,18371824,43127.39342,42946.89343,66.64894272,100.0262277,0,0.9854972827,0.7762388527,
2024-10-18 18:30:00+00:00,43310.39844,43317.26953,43239.44922,43249.91016,22481480,43138.53131,42960.36084,62.8335488,102.2826451,-1,0.9260806944,1.012620333,1
2024-10-18 19:30:00+00:00,43249.85156,43285.94141,43236.21875,43275.35156,32146341,43150.96951,42974.36043,63.2402981,102.3892299,0,0.9510955774,1.350198179,
2024-10-21 13:30:00+00:00,43222.21094,43310.87109,43113.85156,43120.46875,0,43148.19672,42980.85413,46.2016254,101.2753906,0,0.7988093638,0,
2024-10-21 14:30:00+00:00,43121.69141,43143.42969,42887.42188,42896.14063,35104358,43125.28253,42977.08909,32.47880818,111.3152902,0,0.5782420832,1.555707961,
2024-10-21 15:30:00+00:00,42895.10156,43000.78906,42877.57031,42950.76172,23092842,43109.417,42975.91898,36.65755655,114.8638393,0,0.6319474584,1.023508713,
2024-10-21 16:30:00+00:00,42950.35156,43004.71875,42935.69922,42972.01953,17860870,43096.92632,42975.74568,35.47590935,113.6358817,0,0.6528488852,0.8017034606,
2024-10-21 17:30:00+00:00,42971.94141,42976.28125,42906.01172,42919.01172,17647342,43080.75226,42973.22417,35.38577888,109.9815848,0,0.6007297448,0.8059183631,
2024-10-21 18:30:00+00:00,42918.96094,42955.94141,42890.01172,42927.82031,22428742,43066.84936,42971.20622,33.64399786,110.4087612,0,0.6093906631,1.061318097,
2024-10-21 19:30:00+00:00,42927.48828,42937.60156,42880.76953,42937.60156,35141512,43055.09956,42969.71268,34.45771212,111.6637835,0,0.5996278687,1.535235079,
2024-10-22 13:30:00+00:00,42876.83984,42876.83984,42728.51953,42748.48047,0,43027.2251,42959.88013,32.92584038,111.1305804,0,0.2947179818,0,
2024-10-22 14:30:00+00:00,42747.71094,42886.14844,42718.26172,42850.53125,34801646,43011.16202,42955.02018,34.69518332,116.9589844,0,0.2499691312,1.581127357,
2024-10-22 15:30:00+00:00,42850.58984,42894.05078,42837.32813,42890.60156,24687406,43000.20198,42952.15713,32.50485332,114.6029576,0,0.3132995012,1.108540089,
2024-10-22 16:30:00+00:00,42890.39844,42946.82813,42888.58984,42924.42969,26532635,42993.31359,42950.9248,34.21990894,112.6777344,0,0.366764212,1.184698428,
2024-10-22 17:30:00+00:00,42924.69922,43041.05078,42912.89063,42986.69922,27454100,42992.71228,42952.51478,34.43883492,113.280692,0,0.4651800267,1.21194461,
2024-10-22 18:30:00+00:00,42986.75,42988.39844,42932.82031,42967.5,25531350,42990.42026,42953.18079,35.86065814,111.6919643,0,0.4348360251,1.149293013,
2024-10-22 19:30:00+00:00,42968.39063,43008.76953,42923.32031,42925.42188,37940539,42984.51131,42951.94706,32.76725737,114.2438616,0,0.3683323455,1.573522006,
2024-10-23 13:30:00+00:00,42834.39844,42834.39844,42625.48828,42721.25,0,42960.57847,42941.69386,31.25018346,121.5948661,0,0.1368803672,0,
2024-10-23 14:30:00+00:00,42721.39063,42745.48828,42529.53906,42531.12891,37069743,42921.5376,42923.44652,32.28763472,118.7335379,0,0.001998418941,1.60134694,
2024-10-23 15:30:00+00:00,42531.21094,42636.35938,42524.75,42527.51953,39971146,42885.71777,42905.84977,28.39223038,117.9042969,0,0.00346044405,1.671510143,
2024-10-23 16:30:00+00:00,42527.87891,42583.92969,42449.28906,42472.44141,31552401,42848.14719,42886.58718,25.34640563,122.5915179,0,0.02643562811,1.284067846,
2024-10-23 17:30:00+00:00,42472.67969,42472.67969,42293.17188,42360.35938,33689360,42803.80285,42863.19927,23.95000383,130.3942522,0,0.06510934205,1.340463688,
2024-10-23 18:30:00+00:00,42360.48828,42525.85156,42356.60938,42491.71875,33379958,42775.43157,42846.68903,31.75032857,137.7737165,0,0.1924056766,1.324901319,
2024-10-23 19:30:00+00:00,42491.19922,42528.67188,42465.53906,42508.92969,46726078,42751.20412,42831.6775,32.17209919,138.2237723,0,0.2090842674,1.697241456,
2024-10-24 13:30:00+00:00,42522.55078,42522.55078,42337.17188,42424.23047,61508351,42721.47924,42813.56874,35.23220563,136.530692,-1,0.1270048567,2.131946038,1
2024-10-24 14:30:00+00:00,42425.26172,42447.01172,42334.42969,42338.32031,29680779,42686.64661,42792.44659,26.32352516,132.5803571,0,0.04375196369,1.017154822,
2024-10-24 15:30:00+00:00,42338.67969,42343.03906,42191.82813,42279.89844,25882518,42649.66951,42769.66667,22.24175278,139.3295201,0,0.07771400996,0.8749627378,
2024-10-24 16:30:00+00:00,42279.96875,42372.78906,42276.87109,42372.23828,20372360,42624.44849,42752.00319,26.16887342,142.0209263,0,0.1591954914,0.6855333932,
2024-10-24 17:30:00+00:00,42372.25,42412.67188,42307.85938,42346.35938,21604471,42599.16766,42733.97458,21.46842899,140.3532366,0,0.1363597194,0.7280037657,
2024-10-24 18:30:00+00:00,42346.35938,42397.98047,42307.46094,42384.08984,23891105,42579.61513,42718.42414,24.42734498,142.8490513,0,0.1696534133,0.8206110922,
2024-10-24 19:30:00+00:00,42384.69141,42411.60938,42366.67969,42373.41016,34827083,42560.86922,42703.09019,25.11875878,139.9547991,0,0.1602295641,1.128728312,
2024-10-25 13:30:00+00:00,42477.51172,42594.64063,42477.51172,42554.03906,0,42560.2483,42696.46569,42.2997496,134.3331473,0,0.3196180825,0,
2024-10-25 14:30:00+00:00,42553.35156,42554.96094,42338.28906,42339.82813,34764627,42540.2101,42680.61514,41.38160419,134.3847656,0,0.1305964876,1.173730002,
2024-10-25 15:30:00+00:00,42340.03125,42354.46875,42267.5,42350.71094,25758162,42522.9829,42665.95273,42.08636238,132.624721,0,0.140199576,0.8707904712,
2024-10-25 16:30:00+00:00,42349.78125,42358.64844,42152.55078,42185.69922,21842296,42492.32075,42644.60813,38.31576066,137.7287946,0,0.02827064663,0.7454806145,
2024-10-25 17:30:00+00:00,42183.78125,42183.78125,42051.39063,42162.17188,33364339,42462.30722,42623.16651,41.29605358,134.500279,0,0.0869759896,1.123708879,
2024-10-25 18:30:00+00:00,42162.37109,42207.16016,42114.75,42144.76953,23333411,42433.44016,42601.90443,33.06796909,129.0122768,0,0.07331315343,0.8056864057,
2024-10-25 19:30:00+00:00,42143.78906,42148.96875,42085.67188,42112.26953,36666417,42404.24283,42580.14288,30.92657638,129.0239955,0,0.04779692517,1.190691136,
2024-10-28 13:30:00+00:00,42264.53906,42463.12891,42264.53906,42452.35156,0,42408.61635,42574.46326,51.08558296,140.844029,0,0.3148003324,0,
2024-10-28 14:30:00+00:00,42451.01172,42476.46094,42406.30859,42422.17188,30031706,42409.84867,42567.69476,53.38253925,137.8133371,0,0.2911058157,1.055827158,
2024-10-28 15:30:00+00:00,42421.32813,42422.66016,42331.17188,42411.71094,22210986,42410.01797,42560.76214,55.53129549,133.547433,0,0.2828927797,0.7939101367,
